client_start,master_receiveTimestamp,master_beforeSendRequestTimestamp,master_beforeSendBackTimestamp,slave_receiveTimestamp,slave_beforeSendBackTimestamp,client_get_response
23:45:15.564,22:45:23.306,22:45:23.307,22:45:23.361,22:45:23.360,22:45:23.360,23:45:15.816
23:45:16.564,22:45:24.243,22:45:24.243,22:45:24.289,22:45:24.288,22:45:24.288,23:45:16.745
23:45:17.564,22:45:25.219,22:45:25.220,22:45:25.265,22:45:25.264,22:45:25.264,23:45:17.719
23:45:18.565,22:45:26.286,22:45:26.286,22:45:26.333,22:45:26.332,22:45:26.332,23:45:18.787
23:45:19.566,22:45:27.256,22:45:27.256,22:45:27.301,22:45:27.300,22:45:27.300,23:45:19.756
23:45:20.566,22:45:28.211,22:45:28.212,22:45:28.258,22:45:28.256,22:45:28.257,23:45:20.713
23:45:21.565,22:45:29.242,22:45:29.244,22:45:29.293,22:45:29.292,22:45:29.292,23:45:21.748
23:45:22.565,22:45:30.213,22:45:30.214,22:45:30.261,22:45:30.260,22:45:30.260,23:45:22.716
23:45:23.565,22:45:31.213,22:45:31.214,22:45:31.262,22:45:31.261,22:45:31.261,23:45:23.716
23:45:24.566,22:45:32.262,22:45:32.262,22:45:32.312,22:45:32.308,22:45:32.308,23:45:24.766
23:45:25.566,22:45:33.213,22:45:33.214,22:45:33.262,22:45:33.260,22:45:33.260,23:45:25.717
23:45:26.566,22:45:34.290,22:45:34.291,22:45:34.339,22:45:34.336,22:45:34.336,23:45:26.794
23:45:27.566,22:45:35.302,22:45:35.302,22:45:35.349,22:45:35.348,22:45:35.348,23:45:27.804
23:45:28.566,22:45:36.213,22:45:36.214,22:45:36.261,22:45:36.260,22:45:36.260,23:45:28.721
23:45:29.566,22:45:37.231,22:45:37.232,22:45:37.277,22:45:37.276,22:45:37.276,23:45:29.732
