Id,Start Master,Commit Master,Start Slave,Commit Slave,End Master,Staleness (Commit Slave – Commit Master),Latency (End Master – Commit Master)
78,22:39:04.947,22:39:04.948,22:39:04.992,22:39:04.992,22:39:04.993,00:00:00.044,00:00:00.045
79,22:39:05.894,22:39:05.894,22:39:05.940,22:39:05.940,22:39:05.943,00:00:00.046,00:00:00.049
80,22:39:06.891,22:39:06.892,22:39:06.936,22:39:06.936,22:39:06.937,00:00:00.044,00:00:00.045
81,22:39:07.893,22:39:07.894,22:39:07.944,22:39:07.944,22:39:07.946,00:00:00.050,00:00:00.052
82,22:39:08.916,22:39:08.917,22:39:08.922,22:39:08.923,22:39:08.923,00:00:00.006,00:00:00.006
83,22:39:09.895,22:39:09.896,22:39:09.944,22:39:09.944,22:39:09.945,00:00:00.048,00:00:00.049
84,22:39:10.893,22:39:10.893,22:39:10.940,22:39:10.940,22:39:10.941,00:00:00.047,00:00:00.048
85,22:39:11.892,22:39:11.893,22:39:11.944,22:39:11.944,22:39:11.945,00:00:00.051,00:00:00.052
86,22:39:12.952,22:39:12.953,22:39:13.000,22:39:13.000,22:39:13.001,00:00:00.047,00:00:00.048
87,22:39:13.896,22:39:13.897,22:39:13.940,22:39:13.940,22:39:13.941,00:00:00.043,00:00:00.044
88,22:39:14.892,22:39:14.893,22:39:14.940,22:39:14.940,22:39:14.941,00:00:00.047,00:00:00.048
89,22:39:15.893,22:39:15.894,22:39:15.940,22:39:15.940,22:39:15.941,00:00:00.046,00:00:00.047
90,22:39:16.892,22:39:16.892,22:39:16.940,22:39:16.940,22:39:16.941,00:00:00.048,00:00:00.049
91,22:39:17.895,22:39:17.896,22:39:17.940,22:39:17.941,22:39:17.942,00:00:00.045,00:00:00.046
92,22:39:18.893,22:39:18.895,22:39:18.940,22:39:18.941,22:39:18.942,00:00:00.046,00:00:00.047
93,22:39:19.894,22:39:19.894,22:39:19.940,22:39:19.940,22:39:19.941,00:00:00.046,00:00:00.047
94,22:39:20.893,22:39:20.894,22:39:20.940,22:39:20.941,22:39:20.941,00:00:00.047,00:00:00.047
95,22:39:21.895,22:39:21.895,22:39:21.940,22:39:21.940,22:39:21.941,00:00:00.045,00:00:00.046
96,22:39:22.896,22:39:22.897,22:39:22.944,22:39:22.945,22:39:22.947,00:00:00.048,00:00:00.050
97,22:39:23.895,22:39:23.895,22:39:23.940,22:39:23.940,22:39:23.941,00:00:00.045,00:00:00.046
98,22:39:24.905,22:39:24.906,22:39:24.954,22:39:24.955,22:39:24.956,00:00:00.049,00:00:00.050
99,22:39:25.894,22:39:25.895,22:39:25.944,22:39:25.944,22:39:25.945,00:00:00.049,00:00:00.050
