ClientStart,MasterStart,MasterCommit,MasterBackToClient,SlaveStart,SlaveCommit,ClientEnd,Latency (ClientEnd – ClientStart),Staleness (SlaveCommit – MasterCommit)
13:53:47.624,13:53:47.831,13:53:47.832,13:53:47.879,13:53:47.846,13:53:47.846,13:53:47.861,00:00:00.237,00:00:00.014
13:53:48.624,13:53:48.775,13:53:48.775,13:53:48.824,13:53:48.790,13:53:48.790,13:53:48.805,00:00:00.181,00:00:00.015
13:53:49.624,13:53:49.755,13:53:49.755,13:53:49.806,13:53:49.774,13:53:49.774,13:53:49.790,00:00:00.166,00:00:00.019
13:53:50.625,13:53:50.742,13:53:50.742,13:53:50.789,13:53:50.758,13:53:50.758,13:53:50.771,00:00:00.146,00:00:00.016
13:53:51.625,13:53:51.782,13:53:51.784,13:53:51.829,13:53:51.798,13:53:51.798,13:53:51.812,00:00:00.187,00:00:00.014
13:53:52.625,13:53:52.792,13:53:52.793,13:53:52.856,13:53:52.824,13:53:52.825,13:53:52.839,00:00:00.214,00:00:00.032
13:53:53.625,13:53:53.807,13:53:53.808,13:53:53.853,13:53:53.822,13:53:53.822,13:53:53.836,00:00:00.211,00:00:00.014
13:53:54.626,13:53:54.824,13:53:54.824,13:53:54.873,13:53:54.842,13:53:54.842,13:53:54.857,00:00:00.231,00:00:00.018
13:53:55.626,13:53:55.820,13:53:55.821,13:53:55.865,13:53:55.834,13:53:55.834,13:53:55.847,00:00:00.221,00:00:00.013
13:53:56.626,13:53:56.786,13:53:56.786,13:53:56.833,13:53:56.802,13:53:56.802,13:53:56.817,00:00:00.191,00:00:00.016
13:53:57.626,13:53:57.840,13:53:57.841,13:53:57.885,13:53:57.854,13:53:57.854,13:53:57.889,00:00:00.263,00:00:00.013
13:53:58.626,13:53:58.795,13:53:58.796,13:53:58.841,13:53:58.810,13:53:58.810,13:53:58.825,00:00:00.199,00:00:00.014
13:53:59.626,13:53:59.781,13:53:59.782,13:53:59.830,13:53:59.798,13:53:59.799,13:53:59.812,00:00:00.186,00:00:00.017
13:54:00.627,13:54:00.795,13:54:00.796,13:54:00.842,13:54:00.810,13:54:00.811,13:54:00.825,00:00:00.198,00:00:00.015
13:54:01.627,13:54:01.781,13:54:01.781,13:54:01.829,13:54:01.798,13:54:01.798,13:54:01.812,00:00:00.185,00:00:00.017
13:54:02.627,13:54:02.796,13:54:02.796,13:54:02.842,13:54:02.810,13:54:02.810,13:54:02.824,00:00:00.197,00:00:00.014
13:54:03.627,13:54:03.784,13:54:03.784,13:54:03.830,13:54:03.797,13:54:03.798,13:54:03.812,00:00:00.185,00:00:00.014
13:54:04.627,13:54:04.878,13:54:04.879,13:54:04.928,13:54:04.894,13:54:04.895,13:54:04.910,00:00:00.283,00:00:00.016
13:54:05.627,13:54:05.781,13:54:05.781,13:54:05.829,13:54:05.798,13:54:05.798,13:54:05.811,00:00:00.184,00:00:00.017
13:54:06.627,13:54:06.824,13:54:06.825,13:54:06.873,13:54:06.842,13:54:06.842,13:54:06.856,00:00:00.229,00:00:00.017
13:54:07.627,13:54:07.836,13:54:07.836,13:54:07.881,13:54:07.850,13:54:07.850,13:54:07.889,00:00:00.262,00:00:00.014
